Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A716891,Nala,11/27/2015 04:10:00 PM,11/27/2015 04:10:00 PM,2906 E Mlk Blvd #2109 in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,Nala,11/27/2015 04:55:00 PM,11/27/2015 04:55:00 PM,11/27/2013,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0.0
A750687,*Finn,05/30/2017 01:07:00 PM,05/30/2017 01:07:00 PM,Bolm And Gardener in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Siamese Mix,Lynx Point,*Finn,07/01/2017 05:26:00 PM,07/01/2017 05:26:00 PM,04/24/2017,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point,0.0
A797671,*Steve,06/16/2019 12:30:00 PM,06/16/2019 12:30:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Black,*Steve,07/19/2019 01:25:00 PM,07/19/2019 01:25:00 PM,05/16/2019,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Black,0.0
A774565,Tom,06/17/2018 12:53:00 PM,06/17/2018 12:53:00 PM,Del Valle (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Himalayan,Seal Point,Tom,06/23/2018 11:43:00 AM,06/23/2018 11:43:00 AM,06/17/2017,Cat,Neutered Male,1 year,Himalayan,Seal Point,0.0
A530589,Chica,08/23/2015 05:25:00 PM,08/23/2015 05:25:00 PM,Wm Cannon And Sunstrip Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,12 years,Labrador Retriever Mix,Black,Chica,08/29/2015 12:11:00 PM,08/29/2015 12:11:00 PM,08/27/2002,Dog,Spayed Female,13 years,Labrador Retriever Mix,Black,0.0
A707943,London,07/20/2015 02:46:00 PM,07/20/2015 02:46:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Rottweiler Mix,Black/Tan,London,07/24/2015 04:50:00 PM,07/24/2015 04:50:00 PM,06/01/2015,Dog,Spayed Female,1 month,Rottweiler Mix,Black/Tan,0.0
A799023,Nina,07/03/2019 12:31:00 PM,07/03/2019 12:31:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,9 years,Finnish Spitz,Tan,Nina,07/06/2019 05:23:00 PM,07/06/2019 05:23:00 PM,07/03/2010,Dog,Spayed Female,9 years,Finnish Spitz,Tan,0.0
A552088,Sasha,09/13/2015 01:20:00 PM,09/13/2015 01:20:00 PM,7825 Elkhorn Mountain Trail in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown,Sasha,05/12/2016 08:06:00 AM,05/12/2016 08:06:00 AM,11/04/2008,Dog,Spayed Female,7 years,Labrador Retriever Mix,Brown,0.0
A761557,,11/06/2017 05:28:00 PM,11/06/2017 05:28:00 PM,1708 Garden in Austin (TX),Stray,Sick,Cat,Unknown,6 years,Domestic Shorthair Mix,Black,,11/06/2017 06:06:00 PM,11/06/2017 06:06:00 PM,11/06/2011,Cat,Unknown,6 years,Domestic Shorthair Mix,Black,1.0
A709676,*Wendall,08/12/2015 11:26:00 AM,08/12/2015 11:26:00 AM,5401 Prock Ln in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Miniature Pinscher Mix,Chocolate/Tan,*Wendall,08/19/2015 03:45:00 PM,08/19/2015 03:45:00 PM,08/12/2014,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Chocolate/Tan,0.0
A602944,Randy,06/13/2014 05:44:00 PM,06/13/2014 05:44:00 PM,Harris Branch Parkway & Blue Goose in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Australian Cattle Dog Mix,Blue Merle,Randy,06/13/2014 07:12:00 PM,06/13/2014 07:12:00 PM,12/08/2006,Dog,Neutered Male,7 years,Australian Cattle Dog Mix,Blue Merle,0.0
A668299,Kona,12/01/2013 03:19:00 PM,12/01/2013 03:19:00 PM,Eskew Dr And Copano Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,Kona,12/09/2013 06:46:00 PM,12/09/2013 06:46:00 PM,12/01/2011,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0.0
A794222,*Maggie,05/05/2019 11:30:00 AM,05/05/2019 11:30:00 AM,Manda Road And Jacobson Road in Manor (TX),Stray,Normal,Dog,Intact Female,1 year,Golden Retriever,Red/White,*Maggie,05/15/2019 12:54:00 PM,05/15/2019 12:54:00 PM,05/05/2018,Dog,Spayed Female,1 year,Golden Retriever,Red/White,0.0
A711368,,09/05/2015 05:35:00 PM,09/05/2015 05:35:00 PM,Travis (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,,09/05/2015 06:43:00 PM,09/05/2015 06:43:00 PM,08/21/2015,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,0.0
A726387,*Aoi,05/10/2016 12:50:00 PM,05/10/2016 12:50:00 PM,3522 River Rd in Travis (TX),Owner Surrender,Normal,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Blue Tabby,*Aoi,06/28/2016 04:13:00 PM,06/28/2016 04:13:00 PM,04/10/2016,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue Tabby,0.0
A694211,*Nightshadow,12/22/2014 01:44:00 PM,12/22/2014 01:44:00 PM,909 Cedar Glen in Austin (TX),Stray,Normal,Cat,Spayed Female,5 years,Domestic Medium Hair Mix,Black,*Nightshadow,01/11/2015 03:01:00 PM,01/11/2015 03:01:00 PM,12/22/2009,Cat,Spayed Female,5 years,Domestic Medium Hair Mix,Black,0.0
A731908,*Shorty,08/04/2016 11:27:00 AM,08/04/2016 11:27:00 AM,Oltorf And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Staffordshire/Basset Hound,Brown Brindle/White,*Shorty,09/04/2016 05:33:00 PM,09/04/2016 05:33:00 PM,07/29/2015,Dog,Neutered Male,1 year,Staffordshire/Basset Hound,Brown Brindle/White,0.0
A731373,,07/21/2016 11:24:00 AM,07/21/2016 11:24:00 AM,6528 Circulo De Amistad in Austin (TX),Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair Mix,Calico,,09/01/2016 02:50:00 PM,09/01/2016 02:50:00 PM,08/10/2016,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,0.0
A729279,,06/15/2016 03:35:00 PM,06/15/2016 03:35:00 PM,10505 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie,,06/16/2016 09:00:00 AM,06/16/2016 09:00:00 AM,06/15/2013,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie,0.0
A714663,Luna,10/26/2015 03:11:00 PM,10/26/2015 03:11:00 PM,9500 Carson Creek Blvd in Del Valle (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Lynx Point,Luna,10/30/2015 02:53:00 PM,10/30/2015 02:53:00 PM,08/26/2015,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point,0.0
A749409,,05/14/2017 03:36:00 PM,05/14/2017 03:36:00 PM,3016 Farm To Market 1327 in Travis (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby,,05/14/2017 05:52:00 PM,05/14/2017 05:52:00 PM,04/22/2017,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby,0.0
A746723,Jackie,04/08/2017 09:35:00 AM,04/08/2017 09:35:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Brown Tabby,Jackie,04/09/2017 01:23:00 PM,04/09/2017 01:23:00 PM,04/08/2009,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Brown Tabby,0.0
A711218,,09/04/2015 12:55:00 AM,09/04/2015 12:55:00 AM,300 W 21St St in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Black/Brown,,09/04/2015 11:01:00 AM,09/04/2015 11:01:00 AM,08/04/2015,Other,Unknown,4 weeks,Bat,Black/Brown,1.0
A784045,,11/10/2018 04:40:00 PM,11/10/2018 04:40:00 PM,7748 Us 290 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Cream Tabby/White,,11/14/2018 04:40:00 PM,11/14/2018 04:40:00 PM,09/10/2018,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Cream Tabby/White,0.0
A726464,Penny,05/11/2016 11:43:00 AM,05/11/2016 11:43:00 AM,Evelyn Rd And S Hwy 183 in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Border Collie Mix,Chocolate,Penny,05/12/2016 05:38:00 PM,05/12/2016 05:38:00 PM,11/11/2014,Dog,Intact Female,1 year,Border Collie Mix,Chocolate,0.0
A772067,,05/14/2018 01:14:00 PM,05/14/2018 01:14:00 PM,Citation Drive And River Timber Drive in Del Valle (TX),Stray,Sick,Dog,Intact Male,3 weeks,Chihuahua Shorthair Mix,Tan/White,,05/14/2018 03:34:00 PM,05/14/2018 03:34:00 PM,04/22/2018,Dog,Intact Male,3 weeks,Chihuahua Shorthair Mix,Tan/White,0.0
A699540,,03/29/2015 12:05:00 PM,03/29/2015 12:05:00 PM,7201 Ellington Circle in Austin (TX),Stray,Normal,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White/Black,,03/30/2015 10:55:00 AM,03/30/2015 10:55:00 AM,03/01/2015,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White/Black,0.0
A810597,Brownie,12/16/2019 01:06:00 PM,12/16/2019 01:06:00 PM,8502 Dryfield Drive in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Miniature Poodle,White,Brownie,12/17/2019 07:13:00 PM,12/17/2019 07:13:00 PM,04/17/2019,Dog,Intact Male,8 months,Miniature Poodle,White,0.0
A801913,,08/11/2019 01:59:00 PM,08/11/2019 01:59:00 PM,16600 Fagerquist Road in Travis (TX),Stray,Normal,Dog,Intact Female,5 months,Miniature Poodle,Brown,,08/15/2019 06:27:00 PM,08/15/2019 06:27:00 PM,03/11/2019,Dog,Spayed Female,5 months,Miniature Poodle,Brown,0.0
A681400,,06/16/2014 11:24:00 AM,06/16/2014 11:24:00 AM,4707 Munson in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,,06/18/2014 02:09:00 PM,06/18/2014 02:09:00 PM,05/01/2014,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,0.0
A808056,*Cobra,11/03/2019 02:50:00 PM,11/03/2019 02:50:00 PM,1601 East Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby,*Cobra,12/31/2019 08:18:00 AM,12/31/2019 08:18:00 AM,10/03/2019,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,0.0
A689250,*Chrissy,10/01/2014 11:37:00 AM,10/01/2014 11:37:00 AM,4601 Craigwood Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Chrissy,01/01/2015 10:45:00 AM,01/01/2015 10:45:00 AM,09/01/2014,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A705922,,06/22/2015 04:11:00 PM,06/22/2015 04:11:00 PM,14725 Irondale Dr in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Red,,06/23/2015 10:02:00 AM,06/23/2015 10:02:00 AM,05/22/2015,Other,Unknown,4 weeks,Bat,Red,1.0
A730823,,07/11/2016 11:23:00 AM,07/11/2016 11:23:00 AM,4501  E. Ben White in Austin (TX),Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair Mix,Black,,07/11/2016 01:57:00 PM,07/11/2016 01:57:00 PM,07/10/2016,Cat,Intact Male,1 day,Domestic Shorthair Mix,Black,0.0
A654170,Tigger,11/11/2013 12:40:00 PM,11/11/2013 12:40:00 PM,Hawkhaven  Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,7 months,Catahoula/Chow Chow,Red Merle,Tigger,11/16/2013 03:08:00 PM,11/16/2013 03:08:00 PM,03/16/2013,Dog,Neutered Male,8 months,Catahoula/Chow Chow,Red Merle,0.0
A803666,Emma,09/04/2019 12:24:00 PM,09/04/2019 12:24:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Brown Tabby,Emma,09/08/2019 05:07:00 PM,09/08/2019 05:07:00 PM,03/05/2019,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby,0.0
A640185,Rocky,11/04/2015 05:10:00 PM,11/04/2015 05:10:00 PM,130 And Fm 812 in Travis (TX),Stray,Normal,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White,Rocky,06/07/2016 06:54:00 PM,06/07/2016 06:54:00 PM,05/21/2012,Dog,Neutered Male,4 years,Pit Bull Mix,Blue/White,0.0
A682825,,07/03/2014 03:35:00 PM,07/03/2014 03:35:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,,07/08/2014 02:48:00 PM,07/08/2014 02:48:00 PM,04/11/2014,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,0.0
A711110,*Flummery,09/02/2015 11:21:00 AM,09/02/2015 11:21:00 AM,4001 Prairie Ln in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie,*Flummery,10/22/2015 10:09:00 AM,10/22/2015 10:09:00 AM,08/11/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0.0
A789457,Zeus,07/03/2019 11:06:00 AM,07/03/2019 11:06:00 AM,5201 Ross Road in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Tricolor,Zeus,07/03/2019 02:07:00 PM,07/03/2019 02:07:00 PM,02/21/2018,Dog,Intact Male,1 year,German Shepherd,Tricolor,0.0
A801229,,08/01/2019 03:24:00 PM,08/01/2019 03:24:00 PM,4610 Borage Dr in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Dachshund,Brown,,08/04/2019 04:28:00 PM,08/04/2019 04:28:00 PM,06/04/2019,Dog,Neutered Male,1 month,Dachshund,Brown,0.0
A670667,Jessie,01/11/2014 06:18:00 PM,01/11/2014 06:18:00 PM,8404 Bridgetown Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tan/White,Jessie,01/13/2014 11:07:00 AM,01/13/2014 11:07:00 AM,01/11/2011,Dog,Spayed Female,3 years,Jack Russell Terrier Mix,Tan/White,0.0
A745620,Tony,04/04/2019 11:29:00 AM,04/04/2019 11:29:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,Tony,04/06/2019 06:16:00 PM,04/06/2019 06:16:00 PM,10/21/2016,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black,0.0
A760814,,10/24/2017 01:34:00 PM,10/24/2017 01:34:00 PM,1700 Congress in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,10/24/2017 07:44:00 AM,10/24/2017 07:44:00 AM,10/24/2016,Other,Unknown,1 year,Bat Mix,Brown,1.0
A772956,Tsunade,05/25/2018 12:52:00 PM,05/25/2018 12:52:00 PM,Manor (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Black,Tsunade,07/28/2018 02:53:00 PM,07/28/2018 02:53:00 PM,05/25/2015,Dog,Spayed Female,3 years,Pit Bull Mix,Black,0.0
A706937,Leo,07/05/2015 02:54:00 PM,07/05/2015 02:54:00 PM,10500 School House Lane in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,Leo,08/11/2015 06:57:00 PM,08/11/2015 06:57:00 PM,06/13/2015,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue Tabby/White,0.0
A687241,,09/02/2014 02:32:00 PM,09/02/2014 02:32:00 PM,4900 Howard Ln in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Doberman Pinsch Mix,Tricolor,,09/07/2014 12:05:00 PM,09/07/2014 12:05:00 PM,05/02/2014,Dog,Spayed Female,4 months,Doberman Pinsch Mix,Tricolor,0.0
A762153,Belle,11/15/2017 01:09:00 PM,11/15/2017 01:09:00 PM,3518 Malone Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,Belle,11/21/2017 07:15:00 PM,11/21/2017 07:15:00 PM,09/15/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,0.0
A761142,*Demy,10/30/2017 10:33:00 AM,10/30/2017 10:33:00 AM,6308 Decker Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,*Demy,11/06/2017 04:34:00 PM,11/06/2017 04:34:00 PM,09/09/2017,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby,0.0
A796712,,06/04/2019 03:58:00 PM,06/04/2019 03:58:00 PM,302 West Grady Drive in Austin (TX),Stray,Normal,Cat,Unknown,4 days,Domestic Shorthair Mix,White/Black,,06/04/2019 06:46:00 PM,06/04/2019 06:46:00 PM,05/31/2019,Cat,Unknown,4 days,Domestic Shorthair Mix,White/Black,0.0
A765753,*Peach,01/26/2018 09:31:00 AM,01/26/2018 09:31:00 AM,5800 Techni Center in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown,*Peach,01/31/2018 03:52:00 PM,01/31/2018 03:52:00 PM,01/26/2016,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown,0.0
A683312,Walker,07/09/2014 11:35:00 AM,07/09/2014 11:35:00 AM,Tiner Trl  & Dolly St in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Australian Cattle Dog Mix,White/Black,Walker,07/14/2014 06:50:00 PM,07/14/2014 06:50:00 PM,03/09/2014,Dog,Neutered Male,4 months,Australian Cattle Dog Mix,White/Black,0.0
A740229,Barney,12/13/2016 09:56:00 AM,12/13/2016 09:56:00 AM,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,12 years,Beagle Mix,Sable/White,Barney,12/24/2016 04:00:00 PM,12/24/2016 04:00:00 PM,12/13/2004,Dog,Neutered Male,12 years,Beagle Mix,Sable/White,0.0
A686154,,08/17/2014 02:16:00 PM,08/17/2014 02:16:00 PM,1502 W. Lakeland in Austin (TX),Stray,Sick,Dog,Neutered Male,5 years,Great Pyrenees,White,,08/23/2014 01:04:00 PM,08/23/2014 01:04:00 PM,08/17/2009,Dog,Neutered Male,5 years,Great Pyrenees,White,0.0
A782395,Shadow,10/14/2018 03:03:00 PM,10/14/2018 03:03:00 PM,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,5 months,Border Collie Mix,Black,Shadow,10/20/2018 12:00:00 AM,10/20/2018 12:00:00 AM,05/04/2018,Dog,Neutered Male,5 months,Border Collie Mix,Black,0.0
A759147,Betty,12/22/2018 01:00:00 PM,12/22/2018 01:00:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,White/Brown Tabby,Betty,12/23/2018 03:13:00 PM,12/23/2018 03:13:00 PM,09/27/2015,Cat,Intact Female,3 years,Domestic Shorthair Mix,White/Brown Tabby,0.0
A669552,*Kelsie,12/22/2013 05:02:00 PM,12/22/2013 05:02:00 PM,13018 Fitzhough in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,American Staffordshire Terrier Mix,Brown Brindle,*Kelsie,12/31/2013 05:15:00 PM,12/31/2013 05:15:00 PM,04/22/2012,Dog,Intact Female,1 year,American Staffordshire Terrier Mix,Brown Brindle,0.0
A765350,Luther,01/29/2018 11:53:00 AM,01/29/2018 11:53:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Gray,Luther,01/29/2018 04:49:00 PM,01/29/2018 04:49:00 PM,03/18/2017,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Gray,0.0
A802199,*Arwen,08/15/2019 11:35:00 AM,08/15/2019 11:35:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Siamese Mix,Tortie Point,*Arwen,10/17/2019 05:41:00 PM,10/17/2019 05:41:00 PM,08/15/2017,Cat,Spayed Female,2 years,Siamese Mix,Tortie Point,0.0
A803840,,09/07/2019 11:27:00 AM,09/07/2019 11:27:00 AM,2204 Langdale Lane in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Black/White,,09/18/2019 12:53:00 PM,09/18/2019 12:53:00 PM,08/16/2019,Cat,Intact Female,4 weeks,Domestic Shorthair,Black/White,0.0
A723116,,03/26/2016 11:37:00 PM,03/26/2016 11:37:00 PM,"2209 Rutland Dr, Unit B in Austin (TX)",Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,03/27/2016 04:43:00 PM,03/27/2016 04:43:00 PM,03/26/2015,Other,Unknown,1 year,Bat Mix,Brown,1.0
A727826,,05/26/2016 12:01:00 PM,05/26/2016 12:01:00 PM,Del Valle (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Catahoula Mix,Black/White,,05/27/2016 04:48:00 PM,05/27/2016 04:48:00 PM,03/11/2016,Dog,Neutered Male,2 months,Catahoula Mix,Black/White,0.0
A697931,*Polly,03/03/2015 08:30:00 PM,03/03/2015 08:30:00 PM,1701 W 35Th St in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,Tan,*Polly,03/13/2015 04:06:00 PM,03/13/2015 04:06:00 PM,03/03/2014,Dog,Intact Female,1 year,Rat Terrier Mix,Tan,0.0
A719873,,01/29/2016 01:49:00 PM,01/29/2016 01:49:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue/White,,04/02/2016 05:14:00 PM,04/02/2016 05:14:00 PM,01/08/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White,0.0
A690592,,10/22/2014 10:47:00 PM,10/22/2014 10:47:00 PM,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Gray/White,,10/23/2014 12:32:00 PM,10/23/2014 12:32:00 PM,10/01/2014,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Gray/White,0.0
A729082,,06/13/2016 12:07:00 PM,06/13/2016 12:07:00 PM,2124 Burton Dr in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,,06/24/2016 02:32:00 PM,06/24/2016 02:32:00 PM,03/22/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A721659,Milshake,03/01/2016 06:58:00 PM,03/01/2016 06:58:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,2 months,Guinea Pig Mix,Chocolate/White,Milshake,03/02/2016 12:16:00 PM,03/02/2016 12:16:00 PM,12/10/2015,Other,Intact Female,2 months,Guinea Pig Mix,Chocolate/White,0.0
